de plus en plus,1191
il n'y a pas,1157
il y a des,1121
pour la première fois,1021
je ne suis pas,989
au milieu de la,925
de temps en temps,897
il y en a,847
il ne faut pas,822
je ne veux pas,772
je ne sais pas,728
il me semble que,629
il y a un,626
ce qu'il y a,608
il est vrai que,587
il y a une,575
sous le nom de,563
qu'il y a de,550
n'y a pas de,547
tout ce que je,511
la porte de la,497
en même temps que,483
la salle à manger,476
il n'y avait pas,461
de tout ce qui,460
il n'y a que,458
il se mit à,455
au fond de la,435
il faut que je,434
où il y a,428
au point de vue,424
il y eut un,423
il y a de,416
le long de la,398
à la porte de,397
il y avait des,395
que tout le monde,391
que je vous ai,387
il n'y a rien,386
à la tête de,382
il y avait un,381
il n'y a plus,380
du côté de la,367
de temps à autre,367
de la rue de,363
de la part de,362
à la fin de,359
au moment où il,347
tout ce qui est,345
de mme de sévigné,343
tout ce que vous,340
il n'y avait plus,339
au bord de la,339
que je viens de,338
il y en avait,335
à cause de la,333
il y avait une,327
ce qui se passait,326
sur le point de,325
je ne crois pas,325
fo  p l,322
de la jeune fille,318
bonaparte au caire le,312
qui ne sont pas,311
un grand nombre de,306
ce que c'est que,305
il n'y a point,305
et se mit à,305
il y a deux,305
de tout le monde,302
que ce n'est pas,297
quoi qu'il en soit,291
la fin de la,287
mme de sévigné a,285
ce que je vous,285
de ce que je,284
que je ne suis,281
elle se mit à,280
au milieu de ces,279
la plus grande partie,278
il y a dans,277
à tout le monde,276
il y avait dans,276
à la suite de,274
que je n'ai pas,274
n'y a point de,271
la rue de la,270
le reste de la,269
dans la chambre de,264
que je ne puis,262
entre les mains de,260
je vous prie de,260
on ne peut pas,256
eu le temps de,256
deux ou trois fois,255
a mme de grignan,255
au milieu de cette,255
je ne sais quoi,254
mille livres de rente,254
de sévigné a mme,254
sévigné a mme de,254
de la vie de,253
de la maison de,251
tout ce qu'il y,250
je ne peux pas,250
ce qu'il y avait,249
nous ne sommes pas,248
mais il y a,248
tout à coup il,248
ce qui se passe,246
de la ville de,245
mais ce n'est pas,245
et en même temps,244
il y avait là,244
de la peine à,243
la femme de chambre,242
il est certain que,242
et que je ne,242
où il y avait,240
il n'y en a,240
à la fin du,237
se mit à rire,237
de l'autre côté de,236
au bout de quelques,236
je ne sais quel,231
ce n'est pas la,227
de tout ce que,227
dans la salle à,227
le champ de bataille,226
tout ce qui se,225
je ne sais si,225
de ce qui se,222
de la même manière,219
droite et à gauche,219
d'un bout à l'autre,218
au moment où le,217
au bout de la,217
il y a quelques,215
quelque chose de plus,215
tout à la fois,215
il n'en est pas,213
de la mort de,213
les uns des autres,212
à la vue de,211
ne put s'empêcher de,211
je ne sais quelle,211
je ne dis pas,211
de la vie et,210
et il y avait,210
au coin de la,210
vous ne savez pas,210
la première fois que,210
sur le bord de,210
à droite et à,209
à la porte du,207
ce que vous avez,206
ce ne sont pas,205
pas tout à fait,205
il en est de,205
au fond de son,204
et de tous les,204
la mort de son,203
de la grande armée,202
ce n'est pas un,202
m le comte de,201
je ne vois pas,200
que je ne me,199
au milieu de ses,199
il y a là,199
il y a eu,199
y a de plus,197
qu'il n'y a pas,196
le valet de chambre,196
sur le seuil de,195
ce que nous avons,195
il y a bien,194
une partie de la,194
ce n'est pas une,193
tout le monde et,193
avec une sorte de,192
ce qui s'était passé,192
coin de la rue,192
de la jeune femme,192
ne tarda pas à,190
et il y a,190
n'y a rien de,189
de jour en jour,189
toutes les fois que,189
de ce que vous,187
point de vue de,187
de la terre et,187
trois cent mille francs,187
à la place de,186
un certain nombre de,186
il y avait de,186
que je me suis,186
il est probable que,186
en face de la,185
je vous ai dit,185
de la ville et,184
fo vo p l,184
il y a trois,184
sur le champ de,183
sur la route de,183
l'autre côté de la,182
il est impossible de,182
je vous en prie,182
comme si elle eût,182
tout ce que nous,180
de la rue du,180
mme de grignan a,179
bord de la mer,179
ce que je ne,178
me semble que je,177
pour ce qui est,177
que je ne vous,177
